hidden_layers,lr,batch_size,val_split,activation,epochs,dataset,mse,r2
"[320, 320]",0.1,16,0.8,relu,400,Reacher6,0.00413610699146381,0.010648874595530766
"[320, 320]",0.1,16,0.8,tanh,400,Reacher6,0.017789066956204854,-3.2559003898756647
"[320, 320]",0.1,16,0.5,relu,400,Reacher6,0.003780877497117203,0.09677480243775756
"[320, 320]",0.1,16,0.5,tanh,400,Reacher6,0.024096278424558647,-4.738672881014831
"[320, 320]",0.1,16,0.2,relu,400,Reacher6,0.0041875469085797205,-0.0016615760405922497
"[320, 320]",0.1,16,0.2,tanh,400,Reacher6,0.02266555838216536,-4.423324215610738
"[320, 320]",0.1,16,0.1,relu,400,Reacher6,0.0041913763907745994,-0.00253124656565921
"[320, 320]",0.1,16,0.1,tanh,400,Reacher6,0.022000461908902685,-4.246991409792934
"[320, 320]",0.1,16,0.05,relu,400,Reacher6,0.004200806732215317,-0.004871510735979356
"[320, 320]",0.1,16,0.05,tanh,400,Reacher6,0.024311754477002626,-4.790428539490974
"[320, 320]",0.1,32,0.8,relu,400,Reacher6,0.0035290742585436644,0.15552463264074998
"[320, 320]",0.1,32,0.8,tanh,400,Reacher6,0.009525780129197197,-1.2775096673842163
"[320, 320]",0.1,32,0.5,relu,400,Reacher6,0.004187498505476,-0.0016495913018950887
"[320, 320]",0.1,32,0.5,tanh,400,Reacher6,0.013733993520213388,-2.2778294342995715
"[320, 320]",0.1,32,0.2,relu,400,Reacher6,0.004180559081937314,-5.042127226926688e-05
"[320, 320]",0.1,32,0.2,tanh,400,Reacher6,0.013264599699354349,-2.15045042183219
"[320, 320]",0.1,32,0.1,relu,400,Reacher6,0.003788724220158716,0.0962866572661412
"[320, 320]",0.1,32,0.1,tanh,400,Reacher6,0.01318459734888146,-2.1525881762921006
"[320, 320]",0.1,32,0.05,relu,400,Reacher6,0.00418342534952913,-0.0006692582826910062
"[320, 320]",0.1,32,0.05,tanh,400,Reacher6,0.014224903529675493,-2.4070977296187563
"[320, 320]",0.1,64,0.8,relu,400,Reacher6,0.003376352215653404,0.19197635202313112
"[320, 320]",0.1,64,0.8,tanh,400,Reacher6,0.006812926501313245,-0.6267673586998362
"[320, 320]",0.1,64,0.5,relu,400,Reacher6,0.00326880754552478,0.21883677381178793
"[320, 320]",0.1,64,0.5,tanh,400,Reacher6,0.007772733066876466,-0.8547139918901147
"[320, 320]",0.1,64,0.2,relu,400,Reacher6,0.004182276724342617,-0.0004017696974376224
"[320, 320]",0.1,64,0.2,tanh,400,Reacher6,0.00950924175262711,-1.2787586340938077
"[320, 320]",0.1,64,0.1,relu,400,Reacher6,0.0041859972972853555,-0.0012894204305253787
"[320, 320]",0.1,64,0.1,tanh,400,Reacher6,0.009637903864979109,-1.3113703751256942
"[320, 320]",0.1,64,0.05,relu,400,Reacher6,0.00314901902358853,0.24751228430208005
"[320, 320]",0.1,64,0.05,tanh,400,Reacher6,0.0086085770493213,-1.0531585562350487
"[320, 320]",0.1,128,0.8,relu,400,Reacher6,0.00298923465125368,0.28562950535795073
"[320, 320]",0.1,128,0.8,tanh,400,Reacher6,0.005434815793543313,-0.29517573799088764
"[320, 320]",0.1,128,0.5,relu,400,Reacher6,0.004182746300368687,-0.0005157186850014428
"[320, 320]",0.1,128,0.5,tanh,400,Reacher6,0.005305602612592142,-0.2665543045491045
"[320, 320]",0.1,128,0.2,relu,400,Reacher6,0.004181754561196228,-0.0002722390808490201
"[320, 320]",0.1,128,0.2,tanh,400,Reacher6,0.005968524483677806,-0.42120170408870666
"[320, 320]",0.1,128,0.1,relu,400,Reacher6,0.0036155759967271086,0.13850473044195477
"[320, 320]",0.1,128,0.1,tanh,400,Reacher6,0.0051592880991448925,-0.23159496987053751
"[320, 320]",0.1,128,0.05,relu,400,Reacher6,0.003224929238280248,0.22817190298129345
"[320, 320]",0.1,128,0.05,tanh,400,Reacher6,0.005736725584603299,-0.37067734472558267
"[320, 320]",0.01,16,0.8,relu,400,Reacher6,0.002874029552429542,0.31270552025620724
"[320, 320]",0.01,16,0.8,tanh,400,Reacher6,0.003638159402461105,0.13031896256443712
"[320, 320]",0.01,16,0.5,relu,400,Reacher6,0.002784728774747882,0.33454670014348836
"[320, 320]",0.01,16,0.5,tanh,400,Reacher6,0.003803671983597588,0.09151255015927105
"[320, 320]",0.01,16,0.2,relu,400,Reacher6,0.0027576695866300977,0.3406637492154256
"[320, 320]",0.01,16,0.2,tanh,400,Reacher6,0.003579185730591074,0.14487223579899214
"[320, 320]",0.01,16,0.1,relu,400,Reacher6,0.002741574830732889,0.34454174295246104
"[320, 320]",0.01,16,0.1,tanh,400,Reacher6,0.0038263672448182744,0.08748886823711256
"[320, 320]",0.01,16,0.05,relu,400,Reacher6,0.002756375251370321,0.34113075671124077
"[320, 320]",0.01,16,0.05,tanh,400,Reacher6,0.0038113166162386126,0.09094295892668391
"[320, 320]",0.01,32,0.8,relu,400,Reacher6,0.002830071359313157,0.3237358844154621
"[320, 320]",0.01,32,0.8,tanh,400,Reacher6,0.003112628060509012,0.25625912723320754
"[320, 320]",0.01,32,0.5,relu,400,Reacher6,0.0026426281148978874,0.3681624126473026
"[320, 320]",0.01,32,0.5,tanh,400,Reacher6,0.0031137738139351903,0.2552245533077479
"[320, 320]",0.01,32,0.2,relu,400,Reacher6,0.0026319830721055954,0.3706090110628541
"[320, 320]",0.01,32,0.2,tanh,400,Reacher6,0.0031421963268839863,0.24899272952623985
"[320, 320]",0.01,32,0.1,relu,400,Reacher6,0.002633004581147798,0.3706175271909741
"[320, 320]",0.01,32,0.1,tanh,400,Reacher6,0.0031006713600916884,0.2591827585663519
"[320, 320]",0.01,32,0.05,relu,400,Reacher6,0.00261020943484569,0.3756754025375127
"[320, 320]",0.01,32,0.05,tanh,400,Reacher6,0.0031878794901670435,0.23804166941851326
"[320, 320]",0.01,64,0.8,relu,400,Reacher6,0.0027383519698761876,0.34525364131272035
"[320, 320]",0.01,64,0.8,tanh,400,Reacher6,0.0030764717201070923,0.26439638926756054
"[320, 320]",0.01,64,0.5,relu,400,Reacher6,0.0025876680699484446,0.381308413447284
"[320, 320]",0.01,64,0.5,tanh,400,Reacher6,0.0028020562371041265,0.3306121046053721
"[320, 320]",0.01,64,0.2,relu,400,Reacher6,0.0025470689967792147,0.39091677731706054
"[320, 320]",0.01,64,0.2,tanh,400,Reacher6,0.0027459634880478904,0.3434656600320753
"[320, 320]",0.01,64,0.1,relu,400,Reacher6,0.002563420521594985,0.38710303322918066
"[320, 320]",0.01,64,0.1,tanh,400,Reacher6,0.00278571603660235,0.3345540251786008
"[320, 320]",0.01,64,0.05,relu,400,Reacher6,0.0025305227527524237,0.394836859058364
"[320, 320]",0.01,64,0.05,tanh,400,Reacher6,0.0027640431609871666,0.3389563537786557
"[320, 320]",0.01,128,0.8,relu,400,Reacher6,0.0027056541335645314,0.35326773545132717
"[320, 320]",0.01,128,0.8,tanh,400,Reacher6,0.0030002326949311515,0.2829814573676273
