hidden_layers,lr,batch_size,val_split,activation,epochs,dataset,mse,r2
"[320, 320]",0.1,16,0.8,relu,400,Reacher3,0.0017735735510323602,0.20094106079039997
"[320, 320]",0.1,16,0.8,tanh,400,Reacher3,0.004750399532893928,-1.1304797685061034
"[320, 320]",0.1,16,0.5,relu,400,Reacher3,0.0015765332380618033,0.29127840108690833
"[320, 320]",0.1,16,0.5,tanh,400,Reacher3,0.004301633395450794,-0.9372080274363753
"[320, 320]",0.1,16,0.2,relu,400,Reacher3,0.0016706457773842662,0.2508696300021412
"[320, 320]",0.1,16,0.2,tanh,400,Reacher3,0.0032777798768911705,-0.47930871501724354
"[320, 320]",0.1,16,0.1,relu,400,Reacher3,0.001428235623541065,0.36053026745328576
"[320, 320]",0.1,16,0.1,tanh,400,Reacher3,0.00401810835538305,-0.8191021950432038
"[320, 320]",0.1,16,0.05,relu,400,Reacher3,0.0019025728249933698,0.1437029010369213
"[320, 320]",0.1,16,0.05,tanh,400,Reacher3,0.0038228196918080326,-0.7157388742127041
"[320, 320]",0.1,32,0.8,relu,400,Reacher3,0.0013493805423955556,0.39585453366112594
"[320, 320]",0.1,32,0.8,tanh,400,Reacher3,0.0032245031743443216,-0.4499392602914993
"[320, 320]",0.1,32,0.5,relu,400,Reacher3,0.0013434679413880468,0.39837138426798707
"[320, 320]",0.1,32,0.5,tanh,400,Reacher3,0.004316840988939978,-0.9455071279061332
"[320, 320]",0.1,32,0.2,relu,400,Reacher3,0.0012694597444317735,0.43291329966523323
"[320, 320]",0.1,32,0.2,tanh,400,Reacher3,0.0038586506316929826,-0.7326203269311377
"[320, 320]",0.1,32,0.1,relu,400,Reacher3,0.0013917744282125211,0.37693281350310653
"[320, 320]",0.1,32,0.1,tanh,400,Reacher3,0.003174221414707771,-0.42871222280026505
"[320, 320]",0.1,32,0.05,relu,400,Reacher3,0.0013305739845394177,0.40491548499736174
"[320, 320]",0.1,32,0.05,tanh,400,Reacher3,0.003069283292415891,-0.3872411166172404
"[320, 320]",0.1,64,0.8,relu,400,Reacher3,0.0012859612968916419,0.42445332817838083
"[320, 320]",0.1,64,0.8,tanh,400,Reacher3,0.002320765506167355,-0.04117486529976947
"[320, 320]",0.1,64,0.5,relu,400,Reacher3,0.0013471815208361566,0.39672952908925246
"[320, 320]",0.1,64,0.5,tanh,400,Reacher3,0.0026102479827282018,-0.1735023187862119
"[320, 320]",0.1,64,0.2,relu,400,Reacher3,0.001193178532979011,0.4664208068366144
"[320, 320]",0.1,64,0.2,tanh,400,Reacher3,0.002390203023513171,-0.07733081418885379
